City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Malumfashi,NG,76.64,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
568,Porto Tolle,IT,76.03,clear sky,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
569,Port Jervis,US,79.48,overcast clouds,41.3751,-74.6927,Hampton Inn Matamoras/Milford
570,Yangliuqing,CN,75.15,overcast clouds,39.1375,116.9997,如庭快捷酒店
571,Luis Correia,BR,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
576,Alugan,PH,77.5,very heavy rain,12.2188,125.4808,JM Lodge
582,Luganville,VU,80.08,broken clouds,-15.5333,167.1667,The Espiritu Hotel
584,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Novotel Dakar
585,San Policarpo,PH,77.83,very heavy rain,12.1791,125.5072,Agapita M. Nicart
593,Brewster,US,76.26,overcast clouds,41.3973,-73.6171,Heidi's Inn
597,Ischia,IT,80.55,clear sky,40.7342,13.9471,Hotel Ulisse
607,Bonthe,SL,77.2,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
610,Wenling,CN,80.42,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
611,Port Blair,IN,80.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
612,Majene,ID,77.0,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
619,Mancio Lima,BR,81.19,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
620,Chabahar,IR,84.81,broken clouds,25.2919,60.643,هتل گدروشیا
624,Bucerias,MX,85.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
627,Hambantota,LK,79.56,overcast clouds,6.1241,81.1185,Bungalow 63
635,Buenaventura,CO,78.03,overcast clouds,3.8801,-77.0312,Hotel Victoria
639,Harper,LR,77.38,broken clouds,4.375,-7.7169,Screensaver
641,Korla,CN,82.81,clear sky,41.7597,86.1469,Gulisitan Hotel
642,Muisne,EC,75.76,broken clouds,0.6,-80.0333,Quinta Samay
643,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
644,Bafoulabe,ML,83.03,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
646,Khed Brahma,IN,80.42,overcast clouds,24.0333,73.05,UMIYA NASTA HOUSE
647,Rieti,IT,77.61,clear sky,42.4072,12.8592,Hotel Miramonti
648,Weligama,LK,78.03,overcast clouds,5.9667,80.4167,Weligama Bay Resort
652,Acarau,BR,77.7,overcast clouds,-2.8856,-40.12,castelo pizzaria
653,Poum,NC,76.84,overcast clouds,-20.2333,164.0167,
660,Dessalines,HT,84.79,scattered clouds,19.2833,-72.5,Hôtel Rayon de Lumière
661,Ambon,ID,78.94,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
663,Biak,ID,75.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
666,Oussouye,SN,79.27,overcast clouds,12.485,-16.5469,Auberge du Routard
