City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yerbogachen,RU,61.2767,108.0108,58.39,89,100,4.07,light rain
79,Hithadhoo,MV,-0.6,73.0833,82.71,71,16,6.96,few clouds
80,Bethel,US,41.3712,-73.414,75.76,72,100,11.5,overcast clouds
81,Namatanai,PG,-3.6667,152.4333,81.48,78,97,9.35,overcast clouds
82,Cherskiy,RU,68.75,161.3,53.69,88,96,20.78,light rain
83,Atbasar,KZ,51.8,68.3333,49.64,94,54,6.35,broken clouds
84,Aklavik,CA,68.2191,-135.0107,68.0,77,75,6.91,smoke
85,Longonjo,AO,-12.9067,15.2533,59.67,40,0,1.41,clear sky
86,Sobolevo,RU,54.4299,31.8996,61.23,89,87,4.74,overcast clouds
87,Stokmarknes,NO,68.5646,14.9108,55.36,87,100,11.5,overcast clouds
88,Moroni,KM,-11.7022,43.2551,75.42,76,7,6.67,clear sky
89,Tecoanapa,MX,16.5167,-98.75,84.45,72,98,8.23,overcast clouds
90,Aloleng,PH,16.1307,119.7824,80.19,74,100,3.15,overcast clouds
91,Hermanus,ZA,-34.4187,19.2345,53.82,76,0,4.18,clear sky
92,Dingle,PH,10.9995,122.6711,76.33,90,97,1.83,moderate rain
93,Salalah,OM,17.0151,54.0924,80.69,89,100,5.75,drizzle
94,Shasta Lake,US,40.6804,-122.3708,82.54,54,68,5.84,broken clouds
95,Castres,FR,43.5833,2.1667,74.3,53,0,4.61,clear sky
96,Castro,BR,-24.7911,-50.0119,57.29,77,78,3.29,broken clouds
97,Wichita Falls,US,33.9137,-98.4934,102.33,28,0,18.41,clear sky
98,Cabedelo,BR,-6.9811,-34.8339,75.87,83,6,12.12,clear sky
99,Aguimes,ES,27.9054,-15.4461,68.67,68,75,21.85,broken clouds
100,Samarai,PG,-10.6167,150.6667,81.91,80,53,8.37,broken clouds
101,Brae,GB,60.3964,-1.353,51.93,87,95,15.57,overcast clouds
102,Ancud,CL,-41.8697,-73.8203,43.23,87,100,20.31,light rain
103,Faya,SA,18.3851,42.4509,70.32,43,54,4.34,broken clouds
104,Saint Joseph,US,39.7686,-94.8466,93.58,59,0,13.8,clear sky
105,Yellowknife,CA,62.456,-114.3525,73.56,31,53,10.0,broken clouds
106,Lavrentiya,RU,65.5833,-171.0,45.37,94,100,7.92,overcast clouds
107,East London,ZA,-33.0153,27.9116,63.3,65,100,16.91,overcast clouds
108,Kaitangata,NZ,-46.2817,169.8464,46.18,73,61,11.88,broken clouds
109,Bengkulu,ID,-3.8004,102.2655,75.88,87,84,4.83,broken clouds
110,Butaritari,KI,3.0707,172.7902,82.69,76,56,21.97,light rain
111,Shangqiu,CN,34.45,115.65,73.22,96,100,14.97,light rain
112,Hilo,US,19.7297,-155.09,88.29,71,40,11.5,scattered clouds
113,Poso,ID,-1.3959,120.7524,75.6,89,99,2.3,overcast clouds
114,Qui Nhon,VN,13.7667,109.2333,80.76,79,90,4.34,overcast clouds
115,Paciran,ID,-6.8767,112.3761,77.2,89,49,6.22,light rain
116,Cabo San Lucas,MX,22.8909,-109.9124,94.3,51,0,10.36,clear sky
117,Masunga,BW,-20.6246,27.4488,52.59,53,0,7.43,clear sky
118,Shihezi,CN,44.3,86.0333,65.39,70,100,10.45,overcast clouds
119,Adrar,MR,20.5022,-10.0711,101.39,8,76,7.76,broken clouds
120,Kamenka,RU,51.3223,42.7678,58.35,76,14,5.55,few clouds
121,Palmer,US,42.1584,-72.3287,74.75,69,100,14.97,light rain
122,Severo-Kurilsk,RU,50.6789,156.125,53.08,75,21,7.92,few clouds
123,Kampene,CD,-3.6,26.6667,68.83,47,0,2.44,clear sky
124,Touros,BR,-5.1989,-35.4608,75.83,80,2,13.47,clear sky
125,Kapaa,US,22.0752,-159.319,87.78,74,100,16.11,overcast clouds
126,Yulara,AU,-25.2406,130.9889,39.09,44,0,5.79,clear sky
127,Tasiilaq,GL,65.6145,-37.6368,41.16,85,89,2.89,overcast clouds
128,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,84,98,5.5,light rain
129,Carnarvon,AU,-24.8667,113.6333,61.72,45,0,10.22,clear sky
130,Imeni Poliny Osipenko,RU,52.4201,136.4853,72.25,79,100,8.19,overcast clouds
131,Ust-Tsilma,RU,65.441,52.1498,61.45,94,15,3.24,few clouds
132,Ribeira Brava,PT,32.65,-17.0667,69.71,76,6,3.62,clear sky
133,Te Anau,NZ,-45.4167,167.7167,37.4,86,5,0.74,clear sky
134,Changji,CN,44.0167,87.3167,68.79,60,0,4.47,clear sky
135,Bredasdorp,ZA,-34.5322,20.0403,49.12,86,43,3.0,scattered clouds
136,Bubaque,GW,11.2833,-15.8333,80.11,79,95,12.1,light rain
137,Kokoda,PG,-8.8785,147.7407,78.06,84,95,0.34,overcast clouds
138,Tulle,FR,45.3333,1.8333,60.98,60,0,5.37,clear sky
139,Homer,US,59.6425,-151.5483,67.77,78,100,12.66,overcast clouds
140,Airai,TL,-8.9266,125.4092,52.38,90,99,2.93,overcast clouds
141,Mount Isa,AU,-20.7333,139.5,47.97,57,99,5.75,overcast clouds
142,Clyde River,CA,70.4692,-68.5914,40.98,70,85,1.7,overcast clouds
143,Mehamn,NO,71.0357,27.8492,62.55,88,75,6.91,broken clouds
144,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,40,19.57,scattered clouds
145,Sinnamary,GF,5.3833,-52.95,78.48,83,59,6.13,broken clouds
146,Natitingou,BJ,10.3042,1.3796,72.7,89,88,3.6,overcast clouds
147,Avera,US,33.194,-82.5271,91.54,43,79,1.28,broken clouds
148,Georgetown,MY,5.4112,100.3354,80.89,84,20,0.0,few clouds
149,Mnogovershinnyy,RU,53.9353,139.9242,77.02,57,2,6.02,clear sky
150,Mar Del Plata,AR,-38.0023,-57.5575,51.1,80,0,6.91,clear sky
151,Chigorodo,CO,7.6664,-76.6811,79.14,93,99,3.02,overcast clouds
152,Palu,ID,-0.8917,119.8707,75.47,95,100,2.26,overcast clouds
153,Alamogordo,US,32.8995,-105.9603,88.95,43,0,5.01,clear sky
154,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,20,9.22,light rain
155,Fortuna,US,40.5982,-124.1573,70.93,80,75,1.01,broken clouds
156,Hirara,JP,24.8,125.2833,80.87,89,40,8.05,scattered clouds
157,De-Kastri,RU,51.4667,140.7833,62.78,79,74,5.01,broken clouds
158,Hasaki,JP,35.7333,140.8333,75.6,96,100,13.38,overcast clouds
159,Nueve De Julio,AR,-35.4444,-60.8831,49.89,48,0,6.44,clear sky
160,Mbouda,CM,5.6258,10.2552,61.07,95,82,3.89,light rain
161,Kodiak,US,57.79,-152.4072,65.71,68,0,6.91,clear sky
162,Bundaberg,AU,-24.85,152.35,54.21,90,100,4.0,overcast clouds
163,Forestville,US,38.8451,-76.875,89.62,82,0,13.8,clear sky
164,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.47,72,71,2.28,broken clouds
165,Skibbereen,IE,51.55,-9.2667,59.11,91,91,5.06,overcast clouds
166,Carutapera,BR,-1.195,-46.02,74.95,92,22,5.46,few clouds
167,Lensk,RU,60.7253,114.9278,55.58,98,100,3.58,overcast clouds
168,Ubajara,BR,-3.8544,-40.9211,66.42,71,49,4.7,scattered clouds
